type_of_injury,id,ammunition,killed_by,killing_info_id
gunfire,132,live ammunition,Israeli security forces,0.0
gunfire,133,live ammunition,Israeli security forces,0.0
gunfire,134,live ammunition,Israeli security forces,0.0
gunfire,135,live ammunition,Israeli security forces,0.0
gunfire,136,missile,Israeli security forces,5.0
gunfire,137,live ammunition,Israeli security forces,0.0
gunfire,138,live ammunition,Israeli security forces,0.0
gunfire,139,live ammunition,Israeli security forces,0.0
gunfire,140,live ammunition,Israeli security forces,0.0
gunfire,141,live ammunition,Israeli security forces,0.0
gunfire,142,live ammunition,Israeli security forces,0.0
gunfire,143,live ammunition,Israeli security forces,0.0
gunfire,144,live ammunition,Israeli security forces,0.0
gunfire,145,live ammunition,Palestinian civilians,16.0
gunfire,146,live ammunition,Palestinian civilians,16.0
gunfire,147,live ammunition,Palestinian civilians,16.0
gunfire,148,live ammunition,Israeli security forces,0.0
gunfire,149,live ammunition,Israeli security forces,0.0
gunfire,150,live ammunition,Israeli security forces,0.0
gunfire,151,,Israeli security forces,
gunfire,152,live ammunition,Israeli security forces,0.0
gunfire,153,live ammunition,Israeli security forces,0.0
gunfire,154,live ammunition,Israeli security forces,0.0
gunfire,155,live ammunition,Israeli security forces,0.0
gunfire,156,live ammunition,Israeli security forces,0.0
gunfire,157,live ammunition,Israeli security forces,0.0
gunfire,158,live ammunition,Israeli security forces,0.0
gunfire,159,live ammunition,Israeli security forces,0.0
gunfire,160,live ammunition,Israeli civilians,28.0
gunfire,161,live ammunition,Israeli security forces,0.0
gunfire,162,live ammunition,Palestinian civilians,16.0
gunfire,163,live ammunition,Israeli security forces,0.0
gunfire,164,live ammunition,Israeli security forces,0.0
gunfire,165,live ammunition,Israeli security forces,0.0
gunfire,166,live ammunition,Israeli security forces,0.0
gunfire,167,live ammunition,Israeli security forces,0.0
gunfire,168,live ammunition,Israeli security forces,0.0
gunfire,169,live ammunition,Israeli security forces,0.0
gunfire,170,live ammunition,Israeli security forces,0.0
gunfire,171,live ammunition,Israeli security forces,0.0
gunfire,172,live ammunition,Israeli security forces,0.0
gunfire,173,live ammunition,Israeli security forces,0.0
gunfire,174,live ammunition,Israeli security forces,0.0
gunfire,175,live ammunition,Israeli security forces,0.0
gunfire,176,live ammunition,Palestinian civilians,16.0
gunfire,177,live ammunition,Palestinian civilians,16.0
gunfire,178,live ammunition,Palestinian civilians,16.0
gunfire,179,live ammunition,Israeli security forces,0.0
gunfire,180,live ammunition,Israeli security forces,0.0
gunfire,181,,Israeli security forces,
gunfire,182,live ammunition,Israeli security forces,0.0
gunfire,183,,Israeli security forces,
gunfire,184,live ammunition,Israeli security forces,0.0
gunfire,185,live ammunition,Israeli security forces,0.0
gunfire,186,live ammunition,Israeli security forces,0.0
gunfire,187,live ammunition,Israeli security forces,0.0
gunfire,188,live ammunition,Israeli security forces,0.0
gunfire,189,live ammunition,Israeli security forces,0.0
gunfire,190,,Israeli security forces,
gunfire,191,live ammunition,Israeli security forces,0.0
gunfire,192,live ammunition,Israeli security forces,0.0
gunfire,193,live ammunition,Israeli security forces,0.0
gunfire,194,live ammunition,Israeli security forces,0.0
gunfire,195,live ammunition,Israeli civilians,28.0
hit by a vehicle,196,,Palestinian civilians,
hit by a vehicle,197,,Palestinian civilians,
hit by a vehicle,198,,Palestinian civilians,
gunfire,199,live ammunition,Israeli security forces,0.0
gunfire,200,live ammunition,Israeli security forces,0.0
gunfire,201,live ammunition,Israeli security forces,0.0
gunfire,202,live ammunition,Israeli security forces,0.0
gunfire,203,0.22-caliber bullets,Israeli security forces,202.0
gunfire,204,live ammunition,Israeli security forces,0.0
gunfire,205,live ammunition,Israeli security forces,0.0
gunfire,206,live ammunition,Israeli security forces,0.0
gunfire,207,live ammunition,Israeli security forces,0.0
gunfire,208,live ammunition,Israeli security forces,0.0
gunfire,209,live ammunition,Israeli security forces,0.0
gunfire,210,live ammunition,Israeli civilians,28.0
gunfire,211,live ammunition,Israeli security forces,0.0
gunfire,212,live ammunition,Palestinian civilians,16.0
gunfire,213,live ammunition,Palestinian civilians,16.0
gunfire,214,live ammunition,Palestinian civilians,16.0
gunfire,215,live ammunition,Palestinian civilians,16.0
gunfire,216,live ammunition,Palestinian civilians,16.0
gunfire,217,live ammunition,Palestinian civilians,16.0
gunfire,218,,Israeli security forces,
gunfire,219,live ammunition,Israeli security forces,0.0
gunfire,220,live ammunition,Israeli security forces,0.0
gunfire,221,,Israeli security forces,
gunfire,222,live ammunition,Israeli security forces,0.0
gunfire,223,live ammunition,Israeli security forces,0.0
gunfire,224,live ammunition,Israeli security forces,0.0
gunfire,225,live ammunition,Israeli security forces,0.0
gunfire,226,live ammunition,Israeli security forces,0.0
gunfire,227,live ammunition,Israeli security forces,0.0
gunfire,228,live ammunition,Israeli security forces,0.0
gunfire,229,live ammunition,Israeli security forces,0.0
gunfire,230,live ammunition,Israeli security forces,0.0
gunfire,231,live ammunition,Israeli security forces,0.0
gunfire,232,live ammunition,Israeli security forces,0.0
gunfire,233,live ammunition,Israeli civilians,28.0
gunfire,234,live ammunition,Israeli security forces,0.0
gunfire,235,live ammunition,Israeli security forces,0.0
gunfire,236,live ammunition,Israeli security forces,0.0
gunfire,237,live ammunition,Israeli security forces,0.0
gunfire,238,live ammunition,Israeli security forces,0.0
gunfire,239,live ammunition,Israeli security forces,0.0
gunfire,240,live ammunition,Israeli security forces,0.0
gunfire,241,live ammunition,Israeli security forces,0.0
gunfire,242,live ammunition,Israeli civilians,28.0
gunfire,243,live ammunition,Israeli security forces,0.0
gunfire,244,live ammunition,Israeli security forces,0.0
gunfire,245,live ammunition,Israeli security forces,0.0
gunfire,246,live ammunition,Israeli security forces,0.0
gunfire,247,live ammunition,Israeli security forces,0.0
gunfire,248,live ammunition,Israeli security forces,0.0
gunfire,249,live ammunition,Israeli security forces,0.0
gunfire,250,live ammunition,Israeli security forces,0.0
gunfire,251,live ammunition,Israeli security forces,0.0
gunfire,252,live ammunition,Israeli security forces,0.0
gunfire,253,live ammunition,Israeli security forces,0.0
gunfire,254,live ammunition,Israeli security forces,0.0
gunfire,255,live ammunition,Israeli security forces,0.0
gunfire,256,live ammunition,Israeli security forces,0.0
gunfire,257,live ammunition,Israeli security forces,0.0
gunfire,258,live ammunition,Israeli security forces,0.0
gunfire,259,live ammunition,Israeli security forces,0.0
gunfire,260,live ammunition,Israeli security forces,0.0
gunfire,261,live ammunition,Israeli security forces,0.0
gunfire,262,live ammunition,Israeli security forces,0.0
gunfire,263,live ammunition,Israeli security forces,0.0
gunfire,264,live ammunition,Israeli security forces,0.0
gunfire,265,live ammunition,Israeli security forces,0.0
gunfire,266,live ammunition,Israeli security forces,0.0
explosion,267,bomb,Palestinian civilians,266.0
explosion,268,bomb,Palestinian civilians,266.0
gunfire,269,live ammunition,Israeli security forces,0.0
gunfire,270,live ammunition,Israeli security forces,0.0
gunfire,271,live ammunition,Israeli security forces,0.0
stabbing,272,knife,Palestinian civilians,271.0
gunfire,273,live ammunition,Israeli security forces,0.0
hit by a vehicle,274,,Palestinian civilians,
stabbing,275,knife,Palestinian civilians,271.0
gunfire,276,live ammunition,Israeli security forces,0.0
gunfire,277,live ammunition,Israeli security forces,0.0
gunfire,278,live ammunition,Israeli security forces,0.0
gunfire,279,live ammunition,Israeli security forces,0.0
gunfire,280,live ammunition,Israeli security forces,0.0
gunfire,281,live ammunition,Israeli security forces,0.0
gunfire,282,live ammunition,Israeli security forces,0.0
gunfire,283,live ammunition,Israeli security forces,0.0
gunfire,284,live ammunition,Israeli security forces,0.0
gunfire,285,live ammunition,Palestinian civilians,16.0
gunfire,286,live ammunition,Israeli security forces,0.0
gunfire,287,live ammunition,Israeli security forces,0.0
gunfire,288,live ammunition,Israeli security forces,0.0
gunfire,289,live ammunition,Israeli security forces,0.0
gunfire,290,live ammunition,Israeli security forces,0.0
gunfire,291,live ammunition,Israeli security forces,0.0
gunfire,292,live ammunition,Israeli security forces,0.0
stabbing,293,knife,Palestinian civilians,271.0
explosion,294,bomb,Israeli security forces,293.0
gunfire,295,live ammunition,Israeli security forces,0.0
gunfire,296,live ammunition,Israeli security forces,0.0
gunfire,297,live ammunition,Israeli civilians,28.0
gunfire,298,live ammunition,Israeli security forces,0.0
gunfire,299,live ammunition,Israeli security forces,0.0
gunfire,300,live ammunition,Israeli security forces,0.0
gunfire,301,live ammunition,Israeli security forces,0.0
gunfire,302,live ammunition,Israeli security forces,0.0
gunfire,303,live ammunition,Israeli security forces,0.0
gunfire,304,live ammunition,Israeli security forces,0.0
gunfire,305,live ammunition,Israeli security forces,0.0
gunfire,306,live ammunition,Israeli security forces,0.0
gunfire,307,live ammunition,Israeli security forces,0.0
gunfire,308,live ammunition,Israeli security forces,0.0
gunfire,309,live ammunition,Israeli security forces,0.0
gunfire,310,live ammunition,Israeli security forces,0.0
gunfire,311,live ammunition,Israeli security forces,0.0
gunfire,312,live ammunition,Israeli security forces,0.0
gunfire,313,live ammunition,Israeli security forces,0.0
gunfire,314,live ammunition,Israeli security forces,0.0
gunfire,315,live ammunition,Israeli security forces,0.0
gunfire,316,live ammunition,Israeli security forces,0.0
gunfire,317,,Israeli security forces,
gunfire,318,live ammunition,Israeli security forces,0.0
gunfire,319,live ammunition,Israeli security forces,0.0
physical assault,320,,Palestinian civilians,
gunfire,321,live ammunition,Israeli security forces,0.0
gunfire,322,live ammunition,Israeli security forces,0.0
gunfire,323,live ammunition,Israeli security forces,0.0
gunfire,324,live ammunition,Israeli security forces,0.0
gunfire,325,live ammunition,Israeli security forces,0.0
gunfire,326,live ammunition,Israeli security forces,0.0
gunfire,327,live ammunition,Israeli security forces,0.0
gunfire,328,live ammunition,Israeli security forces,0.0
gunfire,329,live ammunition,Israeli security forces,0.0
gunfire,330,,Israeli security forces,
gunfire,331,live ammunition,Israeli security forces,0.0
gunfire,332,live ammunition,Israeli security forces,0.0
gunfire,333,live ammunition,Israeli security forces,0.0
gunfire,334,,Israeli security forces,
gunfire,335,live ammunition,Israeli security forces,0.0
gunfire,336,,Israeli security forces,
gunfire,337,live ammunition,Israeli security forces,0.0
