country,id,origin_id
Palestinian,323,0
Palestinian,324,0
Palestinian,325,0
Palestinian,326,0
Palestinian,327,0
Palestinian,328,0
Palestinian,329,0
Palestinian,330,0
Palestinian,331,0
Palestinian,332,0
Palestinian,333,0
Palestinian,334,0
Palestinian,335,0
Palestinian,336,0
Palestinian,337,0
Palestinian,338,0
Palestinian,339,0
Palestinian,340,0
Palestinian,341,0
Palestinian,342,0
Palestinian,343,0
Palestinian,344,0
Palestinian,345,0
Palestinian,346,0
Palestinian,347,0
Palestinian,348,0
Palestinian,349,0
Palestinian,350,0
Palestinian,351,0
Palestinian,352,0
Palestinian,353,0
Palestinian,354,0
Palestinian,355,0
Palestinian,356,0
Palestinian,357,0
Palestinian,358,0
Palestinian,359,0
Palestinian,360,0
Palestinian,361,0
Palestinian,362,0
Palestinian,363,0
Palestinian,364,0
Palestinian,365,0
Palestinian,366,0
Palestinian,367,0
Palestinian,368,0
Palestinian,369,0
Palestinian,370,0
Palestinian,371,0
Palestinian,372,0
Palestinian,373,0
Palestinian,374,0
Palestinian,375,0
Palestinian,376,0
Palestinian,377,0
Palestinian,378,0
Palestinian,379,0
Palestinian,380,0
Palestinian,381,0
Palestinian,382,0
Palestinian,383,0
Palestinian,384,0
Palestinian,385,0
Palestinian,386,0
Palestinian,387,0
Palestinian,388,0
Palestinian,389,0
Palestinian,390,0
Palestinian,391,0
Palestinian,392,0
Palestinian,393,0
Palestinian,394,0
Palestinian,395,0
Palestinian,396,0
Palestinian,397,0
Palestinian,398,0
Palestinian,399,0
Israeli,400,16
